Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R;CCI;ATR;UO;;;;;;;
1;20100709;1066.75;1072.5;1075;1063.25;0.5200;0.005154639;50.75;1057.332042;1071.889815;-14.5577727;-16.42862416;1.870851454;2.96793E-07;-3.99133E-07;4.60306E-07;50.61625185;50.02150684;50.5920847;0.825629978;0;0.808734847;38.26341135;-44.9704142;-7.906959734;24.75944667;57.20476157;;;;;;;
1;20100712;1071.5;1076.5;1077.25;1065.5;0.3700;0.003729604;62.25;1060.280959;1072.23131;-11.9503513;-15.53296959;3.582618283;2.73349E-07;-4.60138E-07;-5.85721E-07;50.62450744;50.24163157;50.55683162;0.835661769;0.199106113;0.766924515;38.03367926;-35.44857768;0.505872401;23.83020048;63.05739931;;;;;;;
1;20100713;1076;1089.75;1096;1073;1.2300;0.012308407;65.5;1064.814657;1073.528991;-8.714333384;-14.16924235;5.454908963;1.71968E-06;5.75384E-08;1.45166E-07;50.96772264;50.46397242;50.61300316;1;0.400216742;0.833544249;36.37903818;-8.421052632;35.02416531;23.77090045;64.78016515;;;;;;;
0;20100714;1095;1091;1099;1083.5;0.1100;0.001147052;31.75;1068.843172;1074.82314;-5.979967966;-12.53138747;6.551419505;4.88243E-06;-8.5656E-07;7.13355E-07;51.14322016;50.6993007;50.64103453;1;0.613074703;0.866789606;35.34523601;-8.311688312;50.52112127;23.18012184;67.40494989;;;;;;;
0;20100715;1091.25;1090.5;1099.25;1076.25;-0.0500;-0.000458295;23.5;1072.174991;1075.984389;-3.809397134;-10.7869894;6.977592269;5.6177E-06;-8.98554E-07;-7.91494E-08;50.62632187;50.61930496;50.56711053;0.57154167;0.540717356;0.779115347;34.36685994;-9.067357513;48.9240632;23.167256;69.38589753;;;;;;;
1;20100716;1090.5;1063;1094.75;1059;-2.5200;-0.02521779;-9.5;1070.763454;1075.022582;-4.259127712;-9.481417065;5.222289353;3.82602E-06;-2.20296E-06;-1.06496E-06;50.29866637;50.53369363;50.53631045;0.29994717;0.463280629;0.742586292;33.45836788;-37.56476684;11.08470756;24.06602343;55.86424282;;;;;;;
1;20100719;1061.75;1063.75;1071;1057;0.0700;0.00070555;-12.75;1069.684461;1074.187576;-4.503114601;-8.485756572;3.982641971;4.5797E-06;-2.27689E-06;2.27692E-08;49.79601352;50.61911251;50.5186185;0;0.540543281;0.721603546;32.61476811;-36.78756477;-5.633330755;23.34702175;53.96154625;;;;;;;
0;20100720;1063.25;1080;1080.75;1050.75;1.5300;0.015276146;-9.75;1071.271467;1074.618126;-3.346658578;-7.457936973;4.111278395;5.01233E-06;-1.19071E-06;1.01507E-06;49.95860867;50.61853067;50.49101167;0.120690579;0.540017004;0.688861703;31.01984602;-19.94818653;23.39427051;23.82223449;59.43149979;;;;;;;
1;20100721;1079.5;1064;1087.75;1061;-1.4800;-0.014814815;-27;1070.15278;1073.831598;-3.678818007;-6.70211318;3.023295173;4.8374E-07;-1.05847E-06;2.29911E-07;50.10964912;50.4394585;50.51778865;0.232804376;0.378043538;0.720619339;30.15167153;-36.52849741;30.88672911;24.03136059;52.80848256;;;;;;;
1;20100722;1063.25;1087.75;1094.5;1061.25;2.2300;0.022321429;-2.75;1072.860045;1074.862591;-2.002546129;-5.76219977;3.759653641;1.85262E-06;1.17132E-07;1.0174E-06;50.17834923;50.31086897;50.51087283;0.283798862;0.261732377;0.712417147;28.80625145;-11.91709845;69.03967371;24.68983484;55.09383659;;;;;;;
